Date,Creative,"Creative ID","Total Ads Requested"
2024-08-07,C21FEMN_4025253_WDWDHS_FY24_Jollywood_Jollywood_Display_Digital_Banners_WDW_MAXIMIZE_DOM_NOOFF_EN_300x250.zip,4793225,51361
2024-08-07,C21FEMN_4025253_WDWDHS_FY24_Jollywood_Jollywood_Display_Digital_Banners_WDW_MAXIMIZE_DOM_NOOFF_EN_300x600.zip,4793226,3435
2024-08-07,C21FEMN_4025253_WDWDHS_FY24_Jollywood_Jollywood_Display_Digital_Banners_WDW_MAXIMIZE_DOM_NOOFF_EN_320x50.jpg,4779717,32344
2024-08-07,C21FEMN_4025253_WDWDHS_FY24_Jollywood_Jollywood_Display_Digital_Banners_WDW_MAXIMIZE_DOM_NOOFF_EN_728x90.zip,4793227,23146
2024-08-07,C23ZN34-3851151-DLR_FY24_DTD_ENG_Q3-ShoppingAndEntertainment_160x600.zip,4664239,716
2024-08-07,C23ZN34-3851151-DLR_FY24_DTD_ENG_Q3-ShoppingAndEntertainment_300x250.zip,4664241,9969
2024-08-07,C23ZN34-3851151-DLR_FY24_DTD_ENG_Q3-ShoppingAndEntertainment_300x600.zip,4664243,1225
2024-08-07,C23ZN34-3851151-DLR_FY24_DTD_ENG_Q3-ShoppingAndEntertainment_320x50.jpg,4662569,10564
2024-08-07,C23ZN34-3851151-DLR_FY24_DTD_ENG_Q3-ShoppingAndEntertainment_728x90.zip,4664238,5025
2024-08-07,C297FVC-3517755-DLR_FY23_ENG_SpecialProject-Titan-V2_300x250.zip,4746670,71
2024-08-07,C297FVC-3517755-DLR_FY23_ENG_SpecialProject-Titan-V2_300x600.zip,4746672,1
2024-08-07,C297FVC-3517755-DLR_FY23_ENG_SpecialProject-Titan-V2_320x50.jpg,4510758,47
2024-08-07,C297FVC-3517755-DLR_FY23_ENG_SpecialProject-Titan-V2_728x90.zip,4746668,1
2024-08-07,C297FVC-3517755-DLR_FY23_ENG_SpecialProject-Titan-V2_970x250.zip,4746671,2
2024-08-07,C2U40HY-3965360-DLR_FY24_ENG_Q3Q4TicketOffer-Generic-Transact_160x600.zip,4726502,4753
2024-08-07,C2U40HY-3965360-DLR_FY24_ENG_Q3Q4TicketOffer-Generic-Transact_300x250.zip,4726503,39590
2024-08-07,C2U40HY-3965360-DLR_FY24_ENG_Q3Q4TicketOffer-Generic-Transact_300x600.zip,4726505,3368
2024-08-07,C2U40HY-3965360-DLR_FY24_ENG_Q3Q4TicketOffer-Generic-Transact_320x50.jpg,4720607,24474
